Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Rushing Yards per Attempt,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
1,ATL,2014-09-07,445,3,123,1,1,333,139,31:18,Sun,1,1,,NOR,W 37-34 (OT),31,43,12,72.1,3,0,7.0,0.0,128.8,1,3,2.27,10.3,10.11,11.74,11.48,14.4,28,5.0,3,29,42,69.0,1,0,0,1,90.7,25,4.9,568,69,8.23,70,6.74,1,3:18
2,ATL,2014-09-14,212,1,97,0,3,302,170,27:01,Sun,2,2,@,CIN,L 10-24,24,44,20,54.5,1,3,2.3,6.8,48.6,2,19,4.35,4.8,4.61,2.20,2.11,8.8,45,3.8,2,16,24,66.7,1,0,0,0,123.6,19,5.1,309,65,4.75,69,6.84,3,3:11
3,ATL,2014-09-18,344,3,144,3,4,153,64,32:39,Thu,3,3,,TAM,W 56-14,24,28,4,85.7,3,1,10.7,3.6,139.6,1,6,3.45,12.3,11.86,12.82,12.38,14.3,18,3.6,0,22,36,61.1,1,3,26,1,68.4,36,4.0,488,65,7.51,57,3.81,4,3:13
4,ATL,2014-09-28,288,3,123,1,2,317,241,27:08,Sun,4,4,@,MIN,L 28-41,25,41,16,61.0,3,2,7.3,4.9,87.2,1,10,2.38,7.0,6.86,6.29,6.14,11.5,44,5.5,4,19,30,63.3,0,0,0,0,98.9,22,5.6,411,64,6.42,74,7.54,2,3:19
5,ATL,2014-10-05,307,1,90,1,1,193,124,28:19,Sun,5,5,@,NYG,L 20-30,29,45,16,64.4,1,1,2.2,2.2,83.2,1,9,2.17,6.8,6.67,6.27,6.13,10.6,34,3.6,1,19,30,63.3,2,1,7,0,103.9,21,4.3,397,67,5.93,65,4.88,1,3:03
6,ATL,2014-10-12,245,1,42,0,1,375,103,23:45,Sun,6,6,,CHI,L 13-27,19,37,18,51.4,1,1,2.7,2.7,73.1,4,26,9.76,6.6,5.98,5.95,5.37,12.9,29,3.6,2,26,38,68.4,1,2,6,0,109.0,13,3.2,287,54,5.31,69,6.93,1,3:04
7,ATL,2014-10-19,186,1,68,0,1,248,123,26:47,Sun,7,7,@,BAL,L 7-29,29,44,15,65.9,1,0,2.3,0.0,86.2,5,42,10.20,4.2,3.80,4.68,4.20,6.4,36,3.4,1,16,25,64.0,2,1,10,2,90.1,16,4.3,254,65,3.91,62,5.98,1,3:00
8,ATL,2014-10-26,213,2,78,1,1,325,60,29:05,Sun,8,8,,DET,L 21-22,20,27,7,74.1,2,1,7.4,3.7,108.3,2,15,6.90,7.9,7.34,7.70,7.17,10.7,23,2.6,0,24,47,51.1,2,0,0,1,78.8,26,3.0,291,55,5.29,70,5.50,1,3:00
9,ATL,2014-11-09,212,1,110,1,0,281,92,29:48,Sun,9,10,@,TAM,W 27-17,20,31,11,64.5,1,0,3.2,0.0,96.0,1,7,3.13,6.8,6.63,7.48,7.25,10.6,23,4.0,0,27,43,62.8,2,4,20,2,77.8,28,3.9,322,60,5.37,70,5.33,0,3:13
10,ATL,2014-11-16,260,1,86,0,1,285,106,31:58,Sun,10,11,@,CAR,W 19-17,31,45,14,68.9,1,0,2.2,0.0,91.7,2,8,4.26,5.8,5.53,6.22,5.96,8.4,25,4.2,0,23,37,62.2,2,2,7,2,81.5,27,3.2,346,74,4.68,64,6.11,1,3:07
